dest,week,mean_weekly_dest_delay
ABE,1,4.92
ABE,2,8.855555555555556
ABE,3,8.362573099415204
ABE,4,4.302197802197802
ABE,5,3.3508771929824563
ABE,6,16.623595505617978
ABE,7,8.454054054054055
ABE,8,5.350515463917525
ABE,9,5.788043478260869
ABE,10,9.386138613861386
ABE,11,-0.981042654028436
ABE,12,0.06310679611650485
ABE,13,2.2748815165876777
ABE,14,-1.00836820083682
ABE,15,7.2946058091286305
ABE,16,4.506329113924051
ABE,17,1.5847457627118644
ABE,18,-2.082474226804124
ABE,19,4.843478260869565
ABE,20,5.135964912280702
ABE,21,1.0213675213675213
ABE,22,7.5550660792951545
ABE,23,6.520491803278689
ABE,24,8.50197628458498
ABE,25,16.834645669291337
ABE,26,7.595330739299611
ABE,27,8.924444444444445
ABE,28,4.087121212121212
ABE,29,19.844106463878326
ABE,30,7.817490494296578
ABE,31,15.43579766536965
ABE,32,4.142857142857143
ABE,33,9.262357414448669
ABE,34,2.6958333333333333
ABE,35,-2.405286343612335
ABE,36,2.036363636363636
ABE,37,1.502202643171806
ABE,38,-1.4978354978354977
ABE,39,2.5814977973568283
ABE,40,1.6708333333333334
ABE,41,-1.6693877551020408
ABE,42,-1.7306122448979593
ABE,43,-2.7540983606557377
ABE,44,4.848888888888889
ABE,45,-2.6049382716049383
ABE,46,6.802575107296137
ABE,47,-1.3903508771929824
ABE,48,10.087336244541484
ABE,49,-1.84375
ABE,50,1.8622222222222222
ABE,51,2.369158878504673
ABE,52,2.0471204188481678
ABI,1,13.422222222222222
ABI,2,2.27027027027027
ABI,3,3.3013698630136985
ABI,4,1.0789473684210527
ABI,5,-0.8289473684210527
ABI,6,16.826666666666668
ABI,7,4.945205479452055
ABI,8,27.444444444444443
ABI,9,11.753623188405797
ABI,10,4.323943661971831
ABI,11,4.0
ABI,12,-3.6901408450704225
ABI,13,5.771428571428571
ABI,14,6.378378378378378
ABI,15,-3.041095890410959
ABI,16,-0.5443037974683544
ABI,17,3.782051282051282
ABI,18,20.78205128205128
ABI,19,8.976470588235294
ABI,20,1.576470588235294
ABI,21,2.630952380952381
ABI,22,2.9518072289156625
ABI,23,9.292682926829269
ABI,24,11.785714285714286
ABI,25,14.872093023255815
ABI,26,3.735632183908046
ABI,27,22.0
ABI,28,20.817073170731707
ABI,29,8.44943820224719
ABI,30,0.5842696629213483
ABI,31,5.786516853932584
ABI,32,7.134831460674158
ABI,33,7.747126436781609
ABI,34,4.863636363636363
ABI,35,-0.5061728395061729
ABI,36,5.705882352941177
ABI,37,-1.0116279069767442
ABI,38,9.662650602409638
ABI,39,0.23529411764705882
ABI,40,-2.5058823529411764
ABI,41,11.776470588235295
ABI,42,1.302325581395349
ABI,43,4.321428571428571
ABI,44,6.305882352941176
ABI,45,3.4705882352941178
ABI,46,0.07058823529411765
ABI,47,-1.0864197530864197
ABI,48,10.038461538461538
ABI,49,4.9523809523809526
ABI,50,0.3448275862068966
ABI,51,1.4941176470588236
ABI,52,9.56578947368421
ABQ,1,5.988936170212766
ABQ,2,-0.020879120879120878
ABQ,3,-0.8035516093229744
ABQ,4,-2.056830601092896
ABQ,5,-2.1734234234234235
ABQ,6,7.018805309734513
ABQ,7,8.153252480705623
ABQ,8,15.451366120218578
ABQ,9,7.163596966413868
ABQ,10,4.771604938271605
ABQ,11,8.422564102564102
ABQ,12,1.3421588594704685
ABQ,13,1.8138351983723295
ABQ,14,4.224719101123595
ABQ,15,4.6522613065326635
ABQ,16,3.0924623115577887
ABQ,17,0.5451837140019861
ABQ,18,7.498513379583747
ABQ,19,4.417153996101365
ABQ,20,6.481086323957323
ABQ,21,5.8035538005923
ABQ,22,5.854368932038835
ABQ,23,8.04553903345725
ABQ,24,8.131650135256988
ABQ,25,11.405429864253394
ABQ,26,7.501788908765653
ABQ,27,2.5700293829578844
ABQ,28,9.68716577540107
ABQ,29,8.105777777777778
ABQ,30,9.797153024911031
ABQ,31,9.93212669683258
ABQ,32,9.96415770609319
ABQ,33,6.7882037533512065
ABQ,34,4.180592991913747
ABQ,35,1.9924170616113743
ABQ,36,-0.2821691176470588
ABQ,37,-2.045372050816697
ABQ,38,0.9523373052245646
ABQ,39,2.8593607305936075
ABQ,40,0.7486583184257602
ABQ,41,7.561233480176211
ABQ,42,5.239247311827957
ABQ,43,4.767547857793984
ABQ,44,4.352306182531894
ABQ,45,3.6859666339548576
ABQ,46,3.2549952426260704
ABQ,47,1.808022922636103
ABQ,48,8.251503006012024
ABQ,49,2.3985431841831426
ABQ,50,0.5482180293501048
ABQ,51,3.1013953488372095
ABQ,52,12.6103515625
ABR,1,0.45161290322580644
ABR,2,-17.357142857142858
ABR,3,-10.75
ABR,4,15.6
ABR,5,16.666666666666668
ABR,6,26.576923076923077
ABR,7,-9.615384615384615
ABR,8,68.23076923076923
ABR,9,-4.2592592592592595
ABR,10,6.44
ABR,11,23.37037037037037
ABR,12,-0.39285714285714285
ABR,13,-11.178571428571429
ABR,14,12.153846153846153
ABR,15,15.347826086956522
ABR,16,-7.928571428571429
ABR,17,-9.642857142857142
ABR,18,10.035714285714286
ABR,19,-8.892857142857142
ABR,20,-7.678571428571429
ABR,21,20.555555555555557
ABR,22,-1.4285714285714286
ABR,23,-2.0
ABR,24,-3.142857142857143
ABR,25,-6.571428571428571
ABR,26,20.107142857142858
ABR,27,14.407407407407407
ABR,28,1.5357142857142858
ABR,29,-9.214285714285714
ABR,30,-11.392857142857142
ABR,31,-9.428571428571429
ABR,32,-13.357142857142858
ABR,33,0.35714285714285715
ABR,34,12.642857142857142
ABR,35,-11.428571428571429
ABR,36,-11.357142857142858
ABR,37,-5.071428571428571
ABR,38,1.3214285714285714
ABR,39,-9.25
ABR,40,-6.892857142857143
ABR,41,7.111111111111111
ABR,42,-12.3125
ABR,43,-7.184210526315789
ABR,44,-12.735294117647058
ABR,45,-2.7941176470588234
ABR,46,-5.9411764705882355
ABR,47,-9.1875
ABR,48,9.041666666666666
ABR,49,-11.206896551724139
ABR,50,82.6923076923077
ABR,51,48.42857142857143
ABR,52,56.541666666666664
ABY,1,-3.1470588235294117
ABY,2,4.410256410256411
ABY,3,12.277777777777779
ABY,4,-1.925
ABY,5,-4.861111111111111
ABY,6,14.384615384615385
ABY,7,4.848484848484849
ABY,8,8.526315789473685
ABY,9,0.975
ABY,10,11.076923076923077
ABY,11,-0.05
ABY,12,-5.15
ABY,13,-0.8
ABY,14,0.48717948717948717
ABY,15,10.921052631578947
ABY,16,1.0769230769230769
ABY,17,-4.275
ABY,18,-3.975
ABY,19,20.425
ABY,20,-1.641025641025641
ABY,21,-2.1315789473684212
ABY,22,7.0
ABY,23,11.05
ABY,24,4.85
ABY,25,4.815789473684211
ABY,26,14.692307692307692
ABY,27,2.888888888888889
ABY,28,13.263157894736842
ABY,29,40.35897435897436
ABY,30,10.425
ABY,31,41.71875
ABY,32,8.948717948717949
ABY,33,3.4358974358974357
ABY,34,7.7894736842105265
ABY,35,8.026315789473685
ABY,36,-8.866666666666667
ABY,37,-2.45
ABY,38,-2.230769230769231
ABY,39,16.76923076923077
ABY,40,0.35
ABY,41,90.71052631578948
ABY,42,39.15
ABY,43,6.15
ABY,44,4.631578947368421
ABY,45,10.102564102564102
ABY,46,7.333333333333333
ABY,47,-0.15384615384615385
ABY,48,-5.052631578947368
ABY,49,-8.675
ABY,50,17.625
ABY,51,15.605263157894736
ABY,52,7.321428571428571
ACK,18,4.75
ACK,19,-2.0
ACK,20,-3.3
ACK,21,-7.588235294117647
ACK,22,16.404761904761905
ACK,23,-2.772727272727273
ACK,24,-4.829268292682927
ACK,25,19.32846715328467
ACK,26,9.577380952380953
ACK,27,17.130208333333332
ACK,28,10.266666666666667
ACK,29,6.827586206896552
ACK,30,18.159763313609467
ACK,31,17.527173913043477
ACK,32,16.536312849162012
ACK,33,16.263736263736263
ACK,34,-1.3636363636363635
ACK,35,-0.8651685393258427
ACK,36,12.621621621621621
ACK,37,2.7413793103448274
ACK,38,-3.938775510204082
ACK,39,-12.41025641025641
ACK,40,-9.472222222222221
ACK,41,14.894736842105264
ACK,42,-0.38461538461538464
ACK,43,1.5
ACT,1,8.357142857142858
ACT,2,2.7
ACT,3,-3.857142857142857
ACT,4,-2.8823529411764706
ACT,5,-3.549019607843137
ACT,6,-0.17647058823529413
ACT,7,-3.9038461538461537
ACT,8,13.634615384615385
ACT,9,4.490196078431373
ACT,10,1.169811320754717
ACT,11,2.176470588235294
ACT,12,-4.888888888888889
ACT,13,2.607843137254902
ACT,14,9.11111111111111
ACT,15,1.7538461538461538
ACT,16,1.289855072463768
ACT,17,4.764705882352941
ACT,18,13.703125
ACT,19,6.069444444444445
ACT,20,2.5142857142857142
ACT,21,0.17142857142857143
ACT,22,6.942028985507246
ACT,23,8.154929577464788
ACT,24,0.9014084507042254
ACT,25,6.819444444444445
ACT,26,7.918918918918919
ACT,27,12.887096774193548
ACT,28,21.691176470588236
ACT,29,14.971830985915492
ACT,30,3.3684210526315788
ACT,31,4.4
ACT,32,3.2266666666666666
ACT,33,3.5616438356164384
ACT,34,-0.765625
ACT,35,-1.619047619047619
ACT,36,-5.737704918032787
ACT,37,-0.7272727272727273
ACT,38,-3.365079365079365
ACT,39,-4.9375
ACT,40,-4.4
ACT,41,10.147540983606557
ACT,42,3.753846153846154
ACT,43,4.984375
ACT,44,3.09375
ACT,45,11.378787878787879
ACT,46,-3.671875
ACT,47,-5.333333333333333
ACT,48,5.9855072463768115
ACT,49,11.014705882352942
ACT,50,-4.338461538461538
ACT,51,2.5714285714285716
ACT,52,5.8936170212765955
ACV,1,23.52857142857143
ACV,2,7.630434782608695
ACV,3,36.06521739130435
ACV,4,-7.904761904761905
ACV,5,-2.409090909090909
ACV,6,15.270833333333334
ACV,7,4.933333333333334
ACV,8,15.291666666666666
ACV,9,7.4222222222222225
ACV,10,4.104166666666667
ACV,11,30.630434782608695
ACV,12,24.068181818181817
ACV,13,17.081632653061224
ACV,14,2.9130434782608696
ACV,15,0.4375
ACV,16,-10.16326530612245
ACV,17,-11.3125
ACV,18,-3.510204081632653
ACV,19,22.130434782608695
ACV,20,4.5
ACV,21,2.4791666666666665
ACV,22,-6.7592592592592595
ACV,23,8.794117647058824
ACV,24,31.23076923076923
ACV,25,14.493333333333334
ACV,26,14.791666666666666
ACV,27,-2.579710144927536
ACV,28,11.894736842105264
ACV,29,9.855072463768115
ACV,30,17.571428571428573
ACV,31,17.443037974683545
ACV,32,4.566265060240964
ACV,33,2.369047619047619
ACV,34,12.963855421686747
ACV,35,3.9397590361445785
ACV,36,-2.130434782608696
ACV,37,17.796875
ACV,38,15.91044776119403
ACV,39,35.5
ACV,40,-1.3783783783783783
ACV,41,6.87012987012987
ACV,42,37.11538461538461
ACV,43,9.948717948717949
ACV,44,10.426829268292684
ACV,45,6.973333333333334
ACV,46,34.30769230769231
ACV,47,0.5256410256410257
ACV,48,12.585714285714285
ACV,49,7.328947368421052
ACV,50,9.225
ACV,51,11.4875
ACV,52,21.775
ACY,1,0.4513888888888889
ACY,2,0.6690647482014388
ACY,3,-2.4705882352941178
ACY,4,1.213235294117647
ACY,5,3.5
ACY,6,9.133333333333333
ACY,7,0.7573529411764706
ACY,8,4.321428571428571
ACY,9,2.8897637795275593
ACY,10,-2.4857142857142858
ACY,11,-0.38405797101449274
ACY,12,3.240875912408759
ACY,13,-2.55
ACY,14,8.446043165467627
ACY,15,5.844961240310077
ACY,16,25.983739837398375
ACY,17,0.9922480620155039
ACY,18,5.691666666666666
ACY,19,6.3826086956521735
ACY,20,17.763157894736842
ACY,21,11.991304347826087
ACY,22,6.791304347826087
ACY,23,14.412280701754385
ACY,24,11.946902654867257
ACY,25,17.036036036036037
ACY,26,21.954545454545453
ACY,27,26.26605504587156
ACY,28,2.4954128440366974
ACY,29,30.523364485981308
ACY,30,28.42056074766355
ACY,31,12.381818181818181
ACY,32,31.027272727272727
ACY,33,32.53846153846154
ACY,34,12.037383177570094
ACY,35,0.2830188679245283
ACY,36,8.638095238095238
ACY,37,-1.00990099009901
ACY,38,7.607476635514018
ACY,39,-4.177570093457944
ACY,40,-4.392523364485982
ACY,41,-0.18095238095238095
ACY,42,1.8584905660377358
ACY,43,-6.149532710280374
