origin,week,mean_weekly_origin_delay
ABE,1,12.616915422885572
ABE,2,8.386740331491712
ABE,3,9.852941176470589
ABE,4,3.4831460674157304
ABE,5,13.15606936416185
ABE,6,20.09659090909091
ABE,7,15.475675675675676
ABE,8,17.115577889447238
ABE,9,13.425531914893616
ABE,10,9.11111111111111
ABE,11,0.9528301886792453
ABE,12,2.907766990291262
ABE,13,3.0093457943925235
ABE,14,9.221276595744682
ABE,15,10.368852459016393
ABE,16,12.319327731092438
ABE,17,1.7941176470588236
ABE,18,2.955
ABE,19,1.2008928571428572
ABE,20,6.930131004366812
ABE,21,2.116883116883117
ABE,22,4.666666666666667
ABE,23,3.4008264462809916
ABE,24,6.50199203187251
ABE,25,21.654761904761905
ABE,26,9.019762845849803
ABE,27,10.348017621145374
ABE,28,5.665399239543726
ABE,29,21.126436781609197
ABE,30,8.923664122137405
ABE,31,17.162790697674417
ABE,32,5.514925373134329
ABE,33,14.007692307692308
ABE,34,3.8
ABE,35,-2.6
ABE,36,0.27522935779816515
ABE,37,5.7894736842105265
ABE,38,-5.199134199134199
ABE,39,4.671052631578948
ABE,40,-2.05
ABE,41,-2.7224489795918365
ABE,42,3.669387755102041
ABE,43,3.3469387755102042
ABE,44,2.013215859030837
ABE,45,2.8583333333333334
ABE,46,16.61965811965812
ABE,47,-0.8646288209606987
ABE,48,16.308370044052865
ABE,49,7.133333333333334
ABE,50,1.8222222222222222
ABE,51,3.6912442396313363
ABE,52,5.494736842105263
ABI,1,30.57777777777778
ABI,2,4.621621621621622
ABI,3,2.175675675675676
ABI,4,-0.4473684210526316
ABI,5,-1.4
ABI,6,4.546666666666667
ABI,7,0.918918918918919
ABI,8,31.634920634920636
ABI,9,12.67142857142857
ABI,10,13.338028169014084
ABI,11,2.6714285714285713
ABI,12,-7.52112676056338
ABI,13,3.4857142857142858
ABI,14,12.945945945945946
ABI,15,3.1486486486486487
ABI,16,7.10126582278481
ABI,17,-1.8051948051948052
ABI,18,17.474358974358974
ABI,19,21.4
ABI,20,1.5833333333333333
ABI,21,-0.34523809523809523
ABI,22,18.75
ABI,23,21.86904761904762
ABI,24,1.6904761904761905
ABI,25,8.337209302325581
ABI,26,2.6551724137931036
ABI,27,9.394736842105264
